Binary LJ intro data file

864 atoms

2 atom types

0.0 10.25985568 xlo xhi
0.0 10.25985568 ylo yhi
0.0 10.25985568 zlo zhi

Masses

1 1.0
2 1.0

Atoms # atomic

493 2 5.12992784 3.41995189 5.12992784
494 2 5.98491581 4.27493987 5.12992784
495 1 5.98491581 3.41995189 5.98491581
496 2 5.12992784 4.27493987 5.98491581
497 1 5.12992784 3.41995189 6.83990379
498 2 5.98491581 4.27493987 6.83990379
499 2 5.98491581 3.41995189 7.69489176
500 1 5.12992784 4.27493987 7.69489176
501 1 5.12992784 3.41995189 8.54987973
502 1 5.98491581 4.27493987 8.54987973
503 2 5.98491581 3.41995189 9.40486771
504 2 5.12992784 4.27493987 9.40486771
505 1 5.12992784 5.12992784 0.00000000
506 2 5.98491581 5.98491581 0.00000000
507 1 5.98491581 5.12992784 0.85498797
508 1 5.12992784 5.98491581 0.85498797
509 1 5.12992784 5.12992784 1.70997595
510 2 5.98491581 5.98491581 1.70997595
511 1 5.98491581 5.12992784 2.56496392
512 1 5.12992784 5.98491581 2.56496392
513 1 5.12992784 5.12992784 3.41995189
514 2 5.98491581 5.98491581 3.41995189
515 2 5.98491581 5.12992784 4.27493987
516 1 5.12992784 5.98491581 4.27493987
517 2 5.12992784 5.12992784 5.12992784
518 2 5.98491581 5.98491581 5.12992784
519 2 5.98491581 5.12992784 5.98491581
520 1 5.12992784 5.98491581 5.98491581
521 2 5.12992784 5.12992784 6.83990379
522 2 5.98491581 5.98491581 6.83990379
523 1 5.98491581 5.12992784 7.69489176
524 1 5.12992784 5.98491581 7.69489176
525 2 5.12992784 5.12992784 8.54987973
526 1 5.98491581 5.98491581 8.54987973
527 1 5.98491581 5.12992784 9.40486771
528 2 5.12992784 5.98491581 9.40486771
529 2 5.12992784 6.83990379 0.00000000
530 2 5.98491581 7.69489176 0.00000000
531 2 5.98491581 6.83990379 0.85498797
532 1 5.12992784 7.69489176 0.85498797
533 1 5.12992784 6.83990379 1.70997595
534 1 5.98491581 7.69489176 1.70997595
535 2 5.98491581 6.83990379 2.56496392
536 1 5.12992784 7.69489176 2.56496392
537 2 5.12992784 6.83990379 3.41995189
538 2 5.98491581 7.69489176 3.41995189
539 2 5.98491581 6.83990379 4.27493987
540 1 5.12992784 7.69489176 4.27493987
541 1 5.12992784 6.83990379 5.12992784
542 2 5.98491581 7.69489176 5.12992784
543 2 5.98491581 6.83990379 5.98491581
544 2 5.12992784 7.69489176 5.98491581
545 2 5.12992784 6.83990379 6.83990379
546 2 5.98491581 7.69489176 6.83990379
547 1 5.98491581 6.83990379 7.69489176
548 1 5.12992784 7.69489176 7.69489176
549 2 5.12992784 6.83990379 8.54987973
550 1 5.98491581 7.69489176 8.54987973
551 1 5.98491581 6.83990379 9.40486771
552 2 5.12992784 7.69489176 9.40486771
553 2 5.12992784 8.54987973 0.00000000
554 1 5.98491581 9.40486771 0.00000000
555 2 5.98491581 8.54987973 0.85498797
556 1 5.12992784 9.40486771 0.85498797
557 1 5.12992784 8.54987973 1.70997595
558 2 5.98491581 9.40486771 1.70997595
559 1 5.98491581 8.54987973 2.56496392
560 1 5.12992784 9.40486771 2.56496392
561 2 5.12992784 8.54987973 3.41995189
562 1 5.98491581 9.40486771 3.41995189
563 2 5.98491581 8.54987973 4.27493987
564 2 5.12992784 9.40486771 4.27493987
565 1 5.12992784 8.54987973 5.12992784
566 1 5.98491581 9.40486771 5.12992784
567 2 5.98491581 8.54987973 5.98491581
568 1 5.12992784 9.40486771 5.98491581
569 1 5.12992784 8.54987973 6.83990379
570 2 5.98491581 9.40486771 6.83990379
571 1 5.98491581 8.54987973 7.69489176
572 1 5.12992784 9.40486771 7.69489176
