bin                 q                   two_theta           Fx                  Icoh               
299                 2.995000            43.083386           -2.741088           -150.074535        
300                 3.005000            43.234461           -2.107055           -94.214836         
301                 3.015000            43.385615           -1.356362           -28.582948         
302                 3.025000            43.536848           -0.512173           44.711206          
303                 3.035000            43.688161           0.398315            123.237308         
304                 3.045000            43.839554           1.345023            204.349189         
305                 3.055000            43.991028           2.296258            285.297984         
306                 3.065000            44.142582           3.220053            363.348483         
307                 3.075000            44.294218           4.085505            435.893236         
308                 3.085000            44.445936           4.864051            500.559128         
309                 3.095000            44.597736           5.530625            555.301593         
310                 3.105000            44.749618           6.064641            598.482364         
311                 3.115000            44.901583           6.450763            628.927472         
312                 3.125000            45.053632           6.679429            645.963272         
313                 3.135000            45.205764           6.747100            649.429379         
314                 3.145000            45.357980           6.656249            639.668530         
315                 3.155000            45.510281           6.415069            617.494513         
316                 3.165000            45.662667           6.036950            584.140353         
317                 3.175000            45.815138           5.539728            541.189807         
318                 3.185000            45.967695           4.944772            490.495993         
319                 3.195000            46.120339           4.275943            434.091444         
320                 3.205000            46.273068           3.558478            374.094186         
321                 3.215000            46.425885           2.817864            312.614471         
322                 3.225000            46.578790           2.078754            251.666576         
323                 3.235000            46.731782           1.363966            193.089714         
324                 3.245000            46.884862           0.693624            138.481421         
325                 3.255000            47.038031           0.084465            89.146080          
326                 3.265000            47.191290           -0.450652           46.060335          
327                 3.275000            47.344638           -0.903023           9.856215           
328                 3.285000            47.498076           -1.268164           -19.178149         
329                 3.295000            47.651604           -1.545665           -41.081240         
330                 3.305000            47.805223           -1.738851           -56.186148         
331                 3.315000            47.958934           -1.854284           -65.076365         
332                 3.325000            48.112736           -1.901136           -68.532426         
333                 3.335000            48.266631           -1.890474           -67.472800         
334                 3.345000            48.420618           -1.834500           -62.892531         
335                 3.355000            48.574698           -1.745801           -55.803122         
336                 3.365000            48.728872           -1.636624           -47.176855         
337                 3.375000            48.883140           -1.518246           -37.898363         
338                 3.385000            49.037502           -1.400450           -28.725685         
339                 3.395000            49.191960           -1.291130           -20.262377         
340                 3.405000            49.346512           -1.196051           -12.941548         
341                 3.415000            49.501161           -1.118763           -7.021915          
342                 3.425000            49.655905           -1.060657           -2.595275          
