# Time-averaged data for fix FRDF
# TimeStep Number-of-rows
# Row c_CRDF[1] c_CRDF[2] c_CRDF[3]
10000 200
88 1.09375 2.64713 3.05869
89 1.10625 2.63848 3.46426
90 1.11875 2.46057 3.85107
91 1.13125 2.31658 4.22344
92 1.14375 2.20798 4.58623
93 1.15625 2.07094 4.93398
94 1.16875 1.9802 5.27373
95 1.18125 1.85326 5.59854
96 1.19375 1.78465 5.91797
97 1.20625 1.66129 6.22158
98 1.21875 1.57347 6.51514
99 1.23125 1.45039 6.79131
100 1.24375 1.4058 7.06445
101 1.25625 1.33806 7.32969
102 1.26875 1.24083 7.58057
103 1.28125 1.18642 7.8252
104 1.29375 1.12644 8.06201
105 1.30625 1.07947 8.29336
106 1.31875 1.03407 8.51924
107 1.33125 0.976135 8.73652
108 1.34375 0.908111 8.94248
109 1.35625 0.882572 9.14639
110 1.36875 0.848266 9.346
111 1.38125 0.831759 9.54531
112 1.39375 0.872141 9.75811
113 1.40625 0.758808 9.94658
114 1.41875 0.748199 10.1357
115 1.43125 0.73291 10.3243
116 1.44375 0.737432 10.5174
117 1.45625 0.708695 10.7062
118 1.46875 0.70173 10.8963
119 1.48125 0.700921 11.0895
120 1.49375 0.694466 11.2841
121 1.50625 0.673735 11.4761
122 1.51875 0.674488 11.6715
123 1.53125 0.670153 11.8688
124 1.54375 0.669132 12.0691
125 1.55625 0.648795 12.2665
126 1.56875 0.67167 12.4741
127 1.58125 0.634661 12.6734
128 1.59375 0.660558 12.8842
129 1.60625 0.67985 13.1045
130 1.61875 0.694612 13.3331
131 1.63125 0.672027 13.5577
132 1.64375 0.690046 13.7919
133 1.65625 0.704611 14.0347
134 1.66875 0.688232 14.2754
135 1.68125 0.714895 14.5292
136 1.69375 0.749642 14.7993
137 1.70625 0.743239 15.0711
138 1.71875 0.77721 15.3595
139 1.73125 0.793006 15.658
140 1.74375 0.794462 15.9614
141 1.75625 0.832348 16.2839
142 1.76875 0.813169 16.6034
143 1.78125 0.841249 16.9387
144 1.79375 0.875961 17.2927
145 1.80625 0.885327 17.6555
146 1.81875 0.899995 18.0294
147 1.83125 0.94664 18.4281
148 1.84375 0.979362 18.8463
149 1.85625 0.987653 19.2737
150 1.86875 0.98005 19.7036
151 1.88125 1.01496 20.1548
152 1.89375 1.06058 20.6325
153 1.90625 1.03987 21.1071
154 1.91875 1.0686 21.6013
155 1.93125 1.1261 22.1288
156 1.94375 1.09808 22.6499
157 1.95625 1.12229 23.1894
158 1.96875 1.14299 23.7458
159 1.98125 1.20289 24.3389
160 1.99375 1.19216 24.9341
161 2.00625 1.21386 25.5478
162 2.01875 1.19086 26.1573
163 2.03125 1.24521 26.8026
