# Time-averaged data for fix FMSD
# TimeStep c_CMSD[1] c_CMSD[2] c_CMSD[3] c_CMSD[4]
47900 33.438 36.5282 32.1213 102.087
48000 33.4852 36.5775 32.2973 102.36
48100 33.5091 36.657 32.3677 102.534
48200 33.5867 36.724 32.42 102.731
48300 33.6633 36.8379 32.4579 102.959
48400 33.7791 36.7734 32.4978 103.05
48500 33.7297 36.8106 32.6583 103.199
48600 33.7241 36.8932 32.7569 103.374
48700 33.778 36.9665 32.8617 103.606
48800 33.813 36.9963 32.806 103.615
48900 33.8573 37.0509 32.8356 103.744
49000 33.9564 37.0284 32.9195 103.904
49100 34.066 37.1224 32.9338 104.122
49200 34.0722 37.1517 33.084 104.308
49300 34.0858 37.2655 33.2068 104.558
49400 34.1112 37.2931 33.2561 104.66
49500 34.0801 37.3334 33.3336 104.747
49600 34.1892 37.3935 33.4314 105.014
49700 34.2716 37.4702 33.5497 105.292
49800 34.4006 37.5494 33.5443 105.494
49900 34.4475 37.518 33.5511 105.517
50000 34.4998 37.6344 33.4718 105.606
50100 34.4415 37.7885 33.5314 105.761
50200 34.4829 37.7771 33.5834 105.843
50300 34.5452 37.8896 33.6324 106.067
50400 34.6246 37.8627 33.682 106.169
50500 34.7109 37.9316 33.9096 106.552
50600 34.6901 37.9299 34.0035 106.623
50700 34.7929 38.1139 33.8902 106.797
50800 34.8425 38.1539 33.8507 106.847
50900 34.955 38.2559 33.8695 107.08
51000 35.1265 38.4576 33.9912 107.575
51100 35.2147 38.5554 34.0149 107.785
51200 35.3239 38.414 34.2573 107.995
51300 35.4168 38.4426 34.3393 108.199
51400 35.4965 38.5522 34.3714 108.42
51500 35.6624 38.4792 34.4684 108.61
51600 35.8706 38.6286 34.4734 108.973
51700 35.88 38.6919 34.4927 109.065
51800 36.0354 38.8513 34.4771 109.364
51900 35.9541 38.8845 34.5007 109.339
52000 35.9285 39.0208 34.6004 109.55
52100 35.9957 39.2204 34.6981 109.914
52200 36.0657 39.3274 34.6893 110.082
52300 36.0409 39.4057 34.8005 110.247
52400 36.1394 39.3951 34.9732 110.508
52500 36.2113 39.5356 35.0841 110.831
52600 36.3334 39.5335 35.0994 110.966
52700 36.5103 39.6929 35.1097 111.313
52800 36.5929 39.6936 35.2758 111.562
52900 36.7396 39.6933 35.3171 111.75
53000 36.8182 39.8657 35.427 112.111
53100 36.9805 39.871 35.4352 112.287
53200 37.1709 39.9428 35.4589 112.573
53300 37.2163 40.1234 35.5599 112.9
53400 37.2433 40.1304 35.6286 113.002
53500 37.3098 40.1703 35.6099 113.09
53600 37.4523 40.2155 35.5691 113.237
53700 37.5093 40.3244 35.6774 113.511
53800 37.4453 40.3501 35.7377 113.533
53900 37.5631 40.49 35.86 113.913
54000 37.6269 40.498 35.9489 114.074
54100 37.6954 40.5588 36.0267 114.281
54200 37.7789 40.6768 36.1657 114.621
54300 37.8056 40.7347 36.2772 114.818
54400 37.8469 40.8145 36.4116 115.073
54500 37.8842 40.9287 36.5107 115.324
54600 37.8887 41.0512 36.4988 115.439
54700 37.891 41.1933 36.451 115.535
54800 37.9876 41.2611 36.5531 115.802
54900 38.0941 41.3139 36.6714 116.079
55000 38.2122 41.3701 36.7295 116.312
55100 38.2796 41.4107 36.7317 116.422
55200 38.5149 41.4598 36.8277 116.802
55300 38.6399 41.5787 37.0774 117.296
55400 38.7148 41.6544 37.0748 117.444
55500 38.8745 41.6751 37.0787 117.628
55600 39.0162 41.7813 37.2214 118.019
55700 39.0434 41.8655 37.31 118.219
55800 39.1175 41.927 37.399 118.443
55900 39.241 42.0267 37.4548 118.722
56000 39.3159 42.0694 37.5386 118.924
56100 39.2916 42.1499 37.6875 119.129
56200 39.2772 42.2875 37.7082 119.273
56300 39.3358 42.2328 37.7557 119.324
56400 39.4127 42.2356 37.9005 119.549
56500 39.4345 42.2427 37.7725 119.45
56600 39.7258 42.3076 37.8163 119.85
56700 39.931 42.308 37.854 120.093
56800 40.0553 42.4504 37.8878 120.394
56900 40.1908 42.4226 37.9597 120.573
57000 40.1977 42.5405 37.8928 120.631
57100 40.1978 42.6571 38.0318 120.887
57200 40.2161 42.751 38.0874 121.054
57300 40.2765 42.7133 38.223 121.213
57400 40.3525 42.7813 38.1978 121.332
57500 40.5148 42.7772 38.2581 121.55
57600 40.6112 42.7147 38.3133 121.639
57700 40.5127 42.7869 38.2091 121.509
57800 40.6422 42.7477 38.1932 121.583
57900 40.6661 42.6971 38.2601 121.623
58000 40.6627 42.7627 38.3159 121.741
58100 40.7295 42.8259 38.4837 122.039
58200 40.7787 42.9552 38.5138 122.248
58300 40.7875 43.0913 38.5609 122.44
58400 40.7943 43.2216 38.6379 122.654
58500 40.9283 43.2494 38.7221 122.9
58600 40.9506 43.2506 38.8301 123.031
58700 41.014 43.3962 38.8546 123.265
58800 41.018 43.5838 38.9163 123.518
58900 41.048 43.6098 38.9427 123.6
59000 41.1994 43.7211 38.9675 123.888
59100 41.1369 43.8071 38.9706 123.915
59200 41.1416 43.8907 38.9998 124.032
59300 41.2011 44.0221 39.0144 124.238
59400 41.1835 44.084 39.0795 124.347
59500 41.3521 44.1423 39.1343 124.629
59600 41.4427 44.0535 39.3043 124.8
59700 41.4486 44.1676 39.4108 125.027
59800 41.5249 44.1695 39.4988 125.193
59900 41.5897 44.4077 39.5824 125.58
60000 41.6874 44.5257 39.6725 125.886
60100 41.8106 44.5721 39.8714 126.254
60200 42.0392 44.6691 39.9581 126.666
60300 42.1113 44.6983 40.0621 126.872
60400 42.1667 44.8067 40.0762 127.05
60500 42.3648 44.958 40.1215 127.444
60600 42.4573 45.1482 40.1721 127.778
60700 42.5171 45.2841 40.252 128.053
60800 42.7422 45.4398 40.2304 128.412
60900 42.8175 45.4443 40.3844 128.646
61000 42.9037 45.5203 40.4143 128.838
