time                 x                    y                    z                    total               
250.000000           12.994091            13.653220            11.842925            38.490236           
251.000000           13.053228            13.712466            11.892168            38.657862           
252.000000           13.112334            13.771258            11.941600            38.825192           
253.000000           13.171209            13.830401            11.991564            38.993173           
254.000000           13.230101            13.890094            12.041161            39.161356           
255.000000           13.288547            13.950254            12.091229            39.330030           
256.000000           13.346886            14.010468            12.141300            39.498653           
257.000000           13.405893            14.070558            12.191068            39.667519           
258.000000           13.465200            14.130543            12.240930            39.836673           
259.000000           13.525206            14.190952            12.291569            40.007728           
260.000000           13.584960            14.251057            12.341130            40.177147           
261.000000           13.645080            14.311327            12.390646            40.347053           
262.000000           13.704899            14.371461            12.440316            40.516676           
263.000000           13.764834            14.431380            12.490268            40.686481           
264.000000           13.823866            14.490933            12.539825            40.854624           
265.000000           13.882706            14.550564            12.589740            41.023010           
266.000000           13.941469            14.610543            12.639245            41.191257           
267.000000           14.000104            14.670249            12.688955            41.359308           
268.000000           14.058842            14.729670            12.738894            41.527406           
269.000000           14.117658            14.788098            12.789255            41.695010           
270.000000           14.175820            14.846600            12.839831            41.862251           
271.000000           14.233925            14.904999            12.890591            42.029516           
272.000000           14.290928            14.963654            12.940841            42.195423           
273.000000           14.347934            15.022785            12.991027            42.361746           
274.000000           14.405588            15.082300            13.040303            42.528192           
275.000000           14.463239            15.142270            13.089061            42.694570           
276.000000           14.520553            15.202126            13.137035            42.859713           
277.000000           14.577554            15.261951            13.185165            43.024670           
278.000000           14.634681            15.322266            13.232920            43.189867           
279.000000           14.691272            15.383097            13.281328            43.355698           
280.000000           14.748052            15.443045            13.330234            43.521331           
281.000000           14.804699            15.503390            13.379561            43.687649           
282.000000           14.860894            15.563780            13.428314            43.852988           
283.000000           14.917177            15.623837            13.477122            44.018136           
284.000000           14.973025            15.684740            13.525870            44.183636           
285.000000           15.028412            15.745711            13.574114            44.348238           
286.000000           15.084170            15.806271            13.621622            44.512064           
287.000000           15.140058            15.866834            13.668675            44.675567           
288.000000           15.197120            15.927754            13.714815            44.839689           
289.000000           15.254284            15.988597            13.760796            45.003677           
290.000000           15.312125            16.048962            13.806009            45.167097           
291.000000           15.369941            16.108639            13.851493            45.330073           
292.000000           15.427968            16.168263            13.897161            45.493391           
293.000000           15.486446            16.226824            13.943253            45.656523           
294.000000           15.545438            16.284273            13.989483            45.819193           
295.000000           15.603965            16.341053            14.035374            45.980391           
296.000000           15.662998            16.397699            14.081172            46.141869           
297.000000           15.722271            16.454074            14.127543            46.303889           
298.000000           15.782296            16.509957            14.173966            46.466219           
299.000000           15.842539            16.566292            14.220427            46.629258           
300.000000           15.902972            16.622850            14.266865            46.792686           
301.000000           15.963463            16.679681            14.313719            46.956863           
302.000000           16.023635            16.736774            14.360385            47.120795           
303.000000           16.084515            16.792944            14.407341            47.284800           
304.000000           16.145057            16.848852            14.453857            47.447766           
