# time  <Rg>_chains  <Rg^2>_chains
5.540000000000000000e+02 1.117905351937408476e+00 1.324158390148538089e+00
5.560000000000000000e+02 1.132411061691607213e+00 1.361824325480615272e+00
5.580000000000000000e+02 1.125612540762978897e+00 1.339425679484207876e+00
5.600000000000000000e+02 1.123797245414045909e+00 1.345848947407375817e+00
5.620000000000000000e+02 1.125116619582870348e+00 1.354048954751235101e+00
5.640000000000000000e+02 1.115485395083828157e+00 1.340554143053344305e+00
5.660000000000000000e+02 1.113368011435030835e+00 1.333031237451425710e+00
5.680000000000000000e+02 1.103954041526972407e+00 1.304820969774752371e+00
5.700000000000000000e+02 1.101833628186321690e+00 1.285767630992982191e+00
5.720000000000000000e+02 1.095564269225099752e+00 1.270849993104937070e+00
5.740000000000000000e+02 1.104269005331206532e+00 1.294788832351505548e+00
5.760000000000000000e+02 1.138597591720766911e+00 1.367765468445183430e+00
5.780000000000000000e+02 1.142039399119802567e+00 1.413037905933357763e+00
5.800000000000000000e+02 1.145925946244340743e+00 1.413430214778507832e+00
5.820000000000000000e+02 1.122144340581786803e+00 1.345871484554738373e+00
5.840000000000000000e+02 1.113614152619508246e+00 1.309098304342368735e+00
5.860000000000000000e+02 1.124308664010729597e+00 1.345176397412608083e+00
5.880000000000000000e+02 1.133242042729681653e+00 1.359703863797632195e+00
5.900000000000000000e+02 1.105615167837484147e+00 1.290756773693784609e+00
5.920000000000000000e+02 1.108679580607342841e+00 1.309671167002031567e+00
5.940000000000000000e+02 1.128948284008878034e+00 1.355036325376850925e+00
5.960000000000000000e+02 1.079798415175416082e+00 1.237124677390031735e+00
5.980000000000000000e+02 1.052020782311891001e+00 1.170233472782996387e+00
6.000000000000000000e+02 1.058447655740201832e+00 1.191053565010653514e+00
6.020000000000000000e+02 1.068645834637392378e+00 1.212657655620901664e+00
6.040000000000000000e+02 1.081601318164082226e+00 1.250774676470044255e+00
6.060000000000000000e+02 1.099875033128854485e+00 1.272915135946963261e+00
6.080000000000000000e+02 1.100890754910972547e+00 1.276044201092046748e+00
6.100000000000000000e+02 1.097360184993463106e+00 1.270352438578919774e+00
6.120000000000000000e+02 1.105508575031782792e+00 1.288373344488530137e+00
6.140000000000000000e+02 1.129734172722237417e+00 1.351182441687742042e+00
6.160000000000000000e+02 1.126509859718644257e+00 1.350950653491159059e+00
6.180000000000000000e+02 1.104325193876628308e+00 1.290165889249681896e+00
6.200000000000000000e+02 1.087583089219084975e+00 1.244878022238076198e+00
6.220000000000000000e+02 1.109090731573272537e+00 1.297073009969054169e+00
6.240000000000000000e+02 1.121225511521696250e+00 1.332044467402848653e+00
6.260000000000000000e+02 1.130586762510175980e+00 1.349491893307121160e+00
6.280000000000000000e+02 1.120082665685792733e+00 1.336153539490837261e+00
6.300000000000000000e+02 1.136251044081451500e+00 1.367086910412874445e+00
6.320000000000000000e+02 1.120127150393213977e+00 1.345859626343450799e+00
6.340000000000000000e+02 1.132097444668207720e+00 1.381968780734828428e+00
6.360000000000000000e+02 1.133793717147290936e+00 1.374768864466314966e+00
6.380000000000000000e+02 1.113520952705532530e+00 1.329318633594056109e+00
6.400000000000000000e+02 1.105996012308186449e+00 1.311741384457146609e+00
6.420000000000000000e+02 1.112694492163572413e+00 1.331371734468806523e+00
6.440000000000000000e+02 1.124045662582761729e+00 1.347687872521309060e+00
6.460000000000000000e+02 1.140098356157003279e+00 1.383680267607086734e+00
6.480000000000000000e+02 1.131144406963294990e+00 1.367214107334721263e+00
6.500000000000000000e+02 1.138862563200608857e+00 1.381445233607875522e+00
6.520000000000000000e+02 1.156436452547500160e+00 1.416986778363790833e+00
6.540000000000000000e+02 1.143113385724880526e+00 1.390659704596885149e+00
6.560000000000000000e+02 1.134710639186959913e+00 1.365184913693221702e+00
6.580000000000000000e+02 1.142092608439797319e+00 1.376913301537209477e+00
6.600000000000000000e+02 1.158997949955779205e+00 1.430971514417146651e+00
6.620000000000000000e+02 1.119463298588156519e+00 1.333904992592550798e+00
6.640000000000000000e+02 1.115191206284241288e+00 1.322326281138025195e+00
6.660000000000000000e+02 1.111892982256589280e+00 1.329336937318318590e+00
6.680000000000000000e+02 1.116692762358010071e+00 1.336946469672161797e+00
6.700000000000000000e+02 1.104333251461681709e+00 1.312142937715488955e+00
6.720000000000000000e+02 1.082681956435534776e+00 1.267331896808581604e+00
6.740000000000000000e+02 1.106454213572565237e+00 1.335088730364230258e+00
6.760000000000000000e+02 1.114103898385221836e+00 1.349772455610933619e+00
6.780000000000000000e+02 1.079242616510432295e+00 1.256274706114448136e+00
6.800000000000000000e+02 1.096819677165752349e+00 1.296846344015504471e+00
6.820000000000000000e+02 1.112822304365250536e+00 1.312486255450648898e+00
6.840000000000000000e+02 1.088542342180348399e+00 1.258468843580594410e+00
6.860000000000000000e+02 1.069279847496096281e+00 1.213227138684388251e+00
6.880000000000000000e+02 1.050356374213562205e+00 1.168084185204847358e+00
6.900000000000000000e+02 1.059383246022041813e+00 1.184150541159823433e+00
6.920000000000000000e+02 1.067060372498698229e+00 1.214006047300285829e+00
